jmeno,prijimeni,telefonni_cislo,cislo_zamestnance
Brian,Hall,+421 949 656 098,30
Marta,Kolářová,730 456 163,32
John,Moravec,725 092 179,33
Dominika,Kopecká,722 747 626,34
Marcel,Hájek,+421 902 928 669,35
Milada,Hernandez,773 373 704,38
Catherine,Bender,604 068 460,40
Olga,Němcová,+421 914 172 243,41
Jeffrey,Šťastný,607 628 821,44
Kamila,Říhová,+421 948 396 069,47
Jaromír,Miller,+421 912 615 902,49
Christopher,Zeman,+421 948 150 084,51
Karolína,Short,721 589 083,53
Michelle,Vlčková,+421 41 720 7806,54
Jeffrey,Pospíšil,+421 55 491 6940,56
Ladislav,Blažek,+421 910 274 975,57
John,Bailey,775 021 116,58
William,Shelton,+421 47 745 8219,60
Miroslava,Veselá,774 029 254,62
William,Alexander,+421 949 106 724,63
Kimberly,Bass,+421 912 169 840,64
Nathan,Svoboda,728 710 923,66
Luděk,Bartoš,+421 940 700 326,69
Dillon,Black,734 300 978,70
Robert,Říha,727 351 984,72
Steve,Šimek,604 966 101,74
Theresa,Kučerová,+421 48 528 0081,76
Marta,Butler,+421 944 196 827,78
Samantha,Kadlecová,+421 904 841 543,80
